Protocol Number | Time (s) | Source Cluster | Destination Cluster | Source IP | Destination IP | Protocol Name | Length (bytes) | Flags (hex)
6 | 1741752994.45 | B | B | 192.168.68.71 | 13.107.42.16 | TCP | 54 | DF
6 | 1741752994.46 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 66 | DF
6 | 1741752994.46 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 66 | DF
6 | 1741752994.46 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 54 | DF
6 | 1741752994.46 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 54 | DF
6 | 1741752994.47 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 518 | DF
6 | 1741752994.47 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 518 | DF
17 | 1741752994.47 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 86 | DF
6 | 1741752994.47 | B | B | 13.107.42.16 | 192.168.68.71 | TCP | 54 | DF
6 | 1741752994.47 | B | B | 13.107.42.16 | 192.168.68.71 | TCP | 96 | DF
6 | 1741752994.47 | B | B | 13.107.42.16 | 192.168.68.71 | TCP | 54 | DF
6 | 1741752994.47 | B | B | 104.17.152.238 | 192.168.68.71 | TCP | 54 | DF
6 | 1741752994.47 | B | B | 192.168.68.71 | 13.107.42.16 | TCP | 54 | DF
6 | 1741752994.47 | B | B | 192.168.68.71 | 104.17.152.238 | TCP | 54 | DF
6 | 1741752994.47 | B | B | 192.168.68.71 | 13.107.42.16 | TCP | 54 | DF
17 | 1741752994.50 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 1148 | DF
17 | 1741752994.50 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 1242 | DF
17 | 1741752994.51 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 1242 | DF
17 | 1741752994.51 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 585 | DF
17 | 1741752994.52 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 71 | DF
17 | 1741752994.52 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 85 | DF
17 | 1741752994.53 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 85 | DF
17 | 1741752994.53 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 86 | DF
17 | 1741752994.55 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1292 | DF
17 | 1741752994.55 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1292 | DF
6 | 1741752994.55 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 54 | DF
6 | 1741752994.55 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741752994.56 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741752994.56 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1089 | DF
6 | 1741752994.56 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741752994.56 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741752994.56 | A | B | 20.190.151.7 | 192.168.68.71 | TCP | 1089 | DF
6 | 1741752994.56 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 54 | DF
6 | 1741752994.57 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 54 | DF
17 | 1741752994.57 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 84 | 
17 | 1741752994.57 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 84 | 
17 | 1741752994.57 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 121 | DF
17 | 1741752994.57 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1174 | DF
17 | 1741752994.57 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.57 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 77 | 
17 | 1741752994.57 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 77 | 
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1159 | DF
17 | 1741752994.58 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 81 | 
17 | 1741752994.58 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 81 | 
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1175 | DF
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1165 | DF
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.58 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1174 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
17 | 1741752994.59 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1171 | DF
6 | 1741752994.59 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 212 | DF
17 | 1741752994.59 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 1242 | DF
17 | 1741752994.59 | Unknown | B | 68.105.28.11 | 192.168.68.71 | UDP | 100 | DF
17 | 1741752994.59 | Unknown | B | 68.105.28.11 | 192.168.68.71 | UDP | 141 | DF
17 | 1741752994.60 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1292 | DF
17 | 1741752994.60 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1046 | DF
6 | 1741752994.60 | B | A | 192.168.68.71 | 20.190.151.7 | TCP | 212 | DF
6 | 1741752994.60 | B | B | 192.168.68.71 | 142.250.217.142 | TCP | 66 | DF
17 | 1741752994.60 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 86 | 
17 | 1741752994.60 | B | Unknown | 192.168.68.71 | 68.105.28.11 | UDP | 86 | 
17 | 1741752994.60 | B | B | 104.17.152.238 | 192.168.68.71 | UDP | 1242 | DF
17 | 1741752994.60 | Unknown | B | 68.105.28.11 | 192.168.68.71 | UDP | 159 | DF
17 | 1741752994.61 | Unknown | B | 68.105.28.11 | 192.168.68.71 | UDP | 205 | DF
17 | 1741752994.61 | Unknown | B | 68.105.28.11 | 192.168.68.71 | UDP | 154 | DF
